
ӳ������                       PID �Ự��              �Ự#       �ڴ�ʹ�� 
RemindersServer.exe          21208 Console                    8     25,904 K
svchost.exe                  14016 Console                    8     22,700 K
LockApp.exe                  17476 Console                    8     46,784 K
RuntimeBroker.exe             5976 Console                    8     27,356 K
RuntimeBroker.exe             7664 Console                    8     16,128 K
WindowsInternal.Composabl     8900 Console                    8     38,212 K
RuntimeBroker.exe            21224 Console                    8     32,956 K
dllhost.exe                   9944 Console                    8     10,884 K
Video.UI.exe                  8136 Console                    8     20,008 K
RuntimeBroker.exe            17932 Console                    8      7,452 K
svchost.exe                   5856 Console                    8      5,736 K
ApplicationFrameHost.exe      2540 Console                    8     47,932 K
svchost.exe                  19504 Services                   0     20,096 K
WinStore.App.exe             10896 Console                    8     39,324 K
RuntimeBroker.exe            10652 Console                    8     23,920 K
svchost.exe                   1228 Services                   0      5,436 K
NVDisplay.Container.exe      15224 Console                    8     24,760 K
nvcontainer.exe               5424 Console                    8     19,716 K
ECAgent.exe                  20700 Console                    8     12,888 K
ctfmon.exe                   20976 Console                    8     24,604 K
SynTPEnh.exe                  5556 Console                    8     38,880 K
SettingSyncHost.exe           9420 Console                    8      9,340 K
SynTPHelper.exe              16596 Console                    8      4,024 K
SogouCloud.exe               21124 Console                    8     20,088 K
NVIDIA Web Helper.exe        12964 Console                    8      1,808 K
conhost.exe                   1708 Console                    8        116 K
SangforPromote.exe            9248 Console                    8     12,084 K
TSVNCache.exe                12496 Console                    8      9,736 K
SogouCloud.exe                9572 Console                    8     23,212 K
HelpPane.exe                 15412 Console                    8     20,976 K
ChsIME.exe                    9924 Console                    8     15,196 K
chrome.exe                   20568 Console                    8    164,284 K
chrome.exe                    2344 Console                    8      7,632 K
chrome.exe                    8724 Console                    8      7,900 K
chrome.exe                   15348 Console                    8    146,048 K
chrome.exe                   22704 Console                    8     59,480 K
chrome.exe                   20044 Console                    8     29,956 K
chrome.exe                   16740 Console                    8     33,968 K
chrome.exe                    3620 Console                    8     81,932 K
idea64.exe                    3952 Console                    8  1,137,292 K
fsnotifier64.exe              4716 Console                    8      1,676 K
conhost.exe                  17588 Console                    8      4,584 K
chrome.exe                    5700 Console                    8     42,832 K
chrome.exe                   21496 Console                    8     36,948 K
chrome.exe                   10352 Console                    8     43,596 K
MicrosoftEdge.exe             7272 Console                    8     47,448 K
browser_broker.exe           22204 Console                    8      7,616 K
RuntimeBroker.exe             8828 Console                    8      5,868 K
MicrosoftEdgeCP.exe           2728 Console                    8     21,328 K
MicrosoftEdgeCP.exe           6048 Console                    8     19,708 K
svchost.exe                  21764 Services                   0      9,340 K
Microsoft.Photos.exe         19392 Console                    8     29,836 K
RuntimeBroker.exe            23476 Console                    8     26,368 K
OfficeHubTaskHost.exe          300 Console                    8        192 K
RuntimeBroker.exe            10044 Console                    8     10,480 K
ShellExperienceHost.exe      13232 Console                    8     83,956 K
SogouImeBroker.exe            2084 Console                    8     17,860 K
svchost.exe                   8420 Services                   0      7,144 K
splwow64.exe                  7568 Console                    8     42,276 K
svchost.exe                  10704 Services                   0      7,416 K
svchost.exe                  11440 Console                    8     10,600 K
svchost.exe                   6020 Console                    8      5,548 K
SystemSettingsBroker.exe     11628 Console                    8     28,024 K
WeChat.exe                    2776 Console                    8    148,496 K
WeChatWeb.exe                11540 Console                    8     32,288 K
taskhostw.exe                 1472 Console                    8     16,776 K
WeChatWeb.exe                22520 Console                    8     67,844 K
WUDFHost.exe                 15972 Services                   0      7,048 K
SystemSettings.exe           19800 Console                    8     43,336 K
HxOutlook.exe                18404 Console                    8     69,076 K
RuntimeBroker.exe             3120 Console                    8     19,860 K
HxTsr.exe                    18012 Console                    8     36,280 K
onenoteim.exe                 6112 Console                    8     64,028 K
RuntimeBroker.exe             9560 Console                    8      8,608 K
svchost.exe                  22092 Services                   0      8,724 K
svchost.exe                   9336 Services                   0      8,368 K
GoogleUpdate.exe             22040 Services                   0        120 K
chrome.exe                   20396 Console                    8    131,092 K
